"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,4.5421e-07,0,200,2,0.74796,39,39
3,4.5421e-07,1,200,3,0.74796,0,0
3,3.2166e-07,2,200,2,0.15461,35,35
3,3.2166e-07,3,200,1,0.15461,3,3
3,9.4602e-05,4,200,2,0.087704,41,41
3,9.4602e-05,5,200,1,0.087704,31,31
3,8.0803e-06,6,200,2,0.42958,51,47
3,8.0803e-06,7,200,1,0.42958,23,23
3,8.1309e-08,8,200,2,0.061439,5,5
3,8.1309e-08,9,200,1,0.061439,1,1
3,3.3699e-06,10,200,2,0.52181,25,25
3,3.3699e-06,11,200,1,0.52181,13,13
3,2.5493e-07,12,200,2,0.1549,19,19
3,2.5493e-07,13,200,1,0.1549,7,7
3,5.0122e-09,14,200,2,0.071052,37,37
3,5.0122e-09,15,200,1,0.071052,27,27
3,1.8767e-08,16,200,2,0.081646,17,17
3,1.8767e-08,17,200,1,0.081646,9,9
3,4.8284e-08,18,200,2,0.066624,29,29
3,4.8284e-08,19,200,1,0.066624,15,15
3,9.0074e-05,20,200,2,0.17983,49,49
3,9.0074e-05,21,200,1,0.17983,43,43
3,2.8462e-05,22,200,2,0.20482,45,45
3,2.8462e-05,23,200,1,0.20482,33,33
3,2.7937e-08,24,200,2,0.065831,21,21
3,2.7937e-08,25,200,1,0.065831,11,11
